property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
house,independent,sector 57,3.15,20323.0,5,4,3+,2.0,Moderately Old,1550.0016,0,1,0,0,0,0,60
flat,smart world gems,sector 89,1.0,9033.0,2,2,2,1.0,Under Construction,1230.0,0,0,0,0,1,0,38
flat,imperia the esfera,sector 37c,0.85,5387.0,2,3,3,9.0,Relatively New,1442.0,0,0,0,0,1,0,49
house,shri shyam residency,sector 104,0.62,6889.0,3,3,1,2.0,Moderately Old,900.0,1,0,0,0,0,2,8
flat,mapsko royale ville,sector 82,0.99,5531.0,3,4,2,14.0,New Property,1620.0,0,0,0,1,0,0,95
flat,orris carnation residency,sector 85,0.9,6429.0,3,3,2,12.0,Relatively New,1402.0,0,0,0,0,0,1,120
flat,ats triumph,sector 104,1.75,7642.0,3,4,3+,11.0,Relatively New,2072.0,0,0,0,1,0,1,110
flat,dlf the grove,sector 54,5.7,41245.0,3,3,3,1.0,Moderately Old,1382.0,0,0,0,0,0,1,46
house,independent,sector 26,19.0,42229.0,6,8,3+,3.0,Moderately Old,4500.0,0,1,1,1,1,0,103
flat,kw royal court,sector 39,2.0,6250.0,5,4,3,9.0,Old Property,3556.0,0,0,0,1,0,2,49
flat,godrej,sector 79,2.0,8453.0,3,4,3+,2.0,Relatively New,2629.0,0,0,0,1,0,0,156
flat,emaar digihomes,sector 62,2.1,13926.0,2,2,3,12.0,New Property,1500.0,1,0,0,0,0,0,49
flat,adani brahma samsara vilasa,sector 63,3.4,10000.0,3,3,3+,1.0,New Property,3076.0,0,0,0,0,0,1,99
flat,godrej icon,sector 88a,1.65,9041.0,3,3,3,12.0,New Property,1651.0,0,0,0,0,0,0,60
flat,mm golfestate,sector 79,1.4,10000.0,2,2,2,4.0,Relatively New,1556.0,0,1,0,1,1,2,83
flat,eldeco accolade,sohna road,0.95,6543.0,2,2,3+,6.0,New Property,1129.0,0,0,0,0,1,0,56
flat,godrej nature plus,sector 33,1.27,9183.0,2,2,3+,9.0,New Property,1251.0,0,0,0,0,0,0,38
flat,mm skycity,sector 65,2.1,16031.0,2,2,2,43.0,New Property,1185.0,0,0,0,0,0,0,127
flat,ats kocoon,sector 109,2.22,10597.0,3,4,3,14.0,Relatively New,1860.0,0,1,1,1,1,1,45
flat,ats kocoon,sector 109,1.65,10645.0,3,3,3,19.0,Relatively New,1650.0,0,1,0,0,0,0,159
house,independent,sector 7,1.0,8818.0,2,2,0,0.0,Old Property,1134.0,0,0,0,0,1,1,7
house,independent,sector 38,3.9,21188.0,6,6,3+,3.0,Moderately Old,1840.6269,0,0,1,1,1,0,32
flat,dlf the skycourt,sector 86,1.5,7895.0,3,3,1,16.0,Relatively New,1719.0,1,0,0,0,0,0,49
house,international city by sobha phase,sector 109,7.0,11232.0,5,5,3+,2.0,Relatively New,6228.0,0,0,0,1,0,1,129
flat,apex builders,sector 37c,0.42,5600.0,2,2,2,4.0,Relatively New,833.0,0,0,0,0,0,0,42
flat,emaar mgf the palm drive,sector 66,3.4,15455.0,3,4,3,9.0,Relatively New,2200.0,0,1,0,1,0,0,96
flat,tata primanti,sector 72,3.25,10545.0,3,3,3,2.0,Moderately Old,2986.0,0,0,0,1,0,0,94
house,ansal sushant lok plots,sector 43,5.8,29935.0,6,6,3,2.0,Relatively New,1937.502,1,0,0,1,0,0,49
house,independent,sector 49,4.5,15599.0,8,8,3,3.0,Moderately Old,2880.0,0,1,1,1,1,2,151
house,independent,sector 50,11.58,35741.0,5,5,3,2.0,Moderately Old,3240.0,0,0,0,1,0,0,20
house,international city by sobha phase,sector 109,6.0,24665.0,4,5,3+,2.0,Relatively New,2430.0,0,0,0,1,0,0,96
flat,imperia the esfera,sector 37c,0.98,5399.0,3,4,3,9.0,Relatively New,1660.0,1,0,0,1,0,0,49
house,unitech espace,sector 50,7.42,23188.0,4,4,3,2.0,Old Property,3200.0,0,0,0,0,0,0,88
flat,smart world gems,sector 89,1.16,8152.0,3,3,2,3.0,New Property,1581.0,0,0,0,0,1,1,68
flat,mvn athens,sohna road,0.26,5394.0,2,2,1,2.0,Relatively New,535.0,0,0,0,0,0,1,37
flat,bhagwati sadan,sector 12,1.15,5500.0,3,4,2,2.0,Old Property,2000.0,1,0,0,1,0,1,0
house,ss hibiscus,sector 50,12.5,29549.0,4,4,3+,2.0,Relatively New,4230.2127,0,0,0,1,1,2,160
flat,la vida by tata housing,sector 113,1.38,10222.0,2,2,3,8.0,New Property,1350.0,0,0,0,0,1,1,174
house,independent,sector 4,3.3,14669.0,3,3,2,1.0,Old Property,2250.0,0,0,0,0,0,1,34
flat,dlf new town heights,sector 86,1.54,5785.0,4,4,3+,21.0,Moderately Old,2139.0,0,0,1,1,1,0,80
flat,dlf regency park,sector 28,1.35,11739.0,2,2,2,14.0,Old Property,1120.0,0,1,0,0,0,0,66
flat,puri the aravallis,sector 61,3.9,33220.0,3,4,3+,33.0,New Property,1174.0,0,0,0,1,0,1,158
house,independent,sector 14,7.5,16590.0,3,3,2,1.0,Old Property,4518.0,0,0,1,1,1,0,27
flat,sare crescent parc,sector 92,0.51,4080.0,3,2,2,2.0,Relatively New,1131.0,0,0,0,0,0,1,72
flat,emaar imperial gardens,sector 102,1.92,9600.0,3,3,3,12.0,Relatively New,2222.0,0,1,1,1,1,1,95
house,independent,sector 14,4.6,20448.0,1,1,0,1.0,Old Property,2250.0,0,0,0,0,0,0,0
flat,palam vihar society,sector 2,0.4,8602.0,1,1,1,5.0,Moderately Old,450.0,0,0,0,0,0,0,39
flat,bestech park view sanskruti,sector 92,1.68,11053.0,3,4,3+,15.0,Relatively New,1803.0,0,0,0,1,0,0,174
flat,godrej oasis,sector 88a,1.19,10162.0,2,2,3,15.0,Relatively New,1387.0,0,0,1,0,1,0,174
flat,hsiidc sidco aravali,manesar,0.9,3648.0,4,4,3,7.0,Moderately Old,2232.0,0,0,0,0,0,1,0
flat,raheja teachers apartments,sector 31,1.2,7273.0,3,2,2,1.0,Moderately Old,1450.0,1,0,0,0,0,2,105
flat,assotech blith,sector 99,1.9,6702.0,4,4,3+,2.0,New Property,2835.0,0,0,0,0,0,1,51
flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,1.0,New Property,1778.0,0,0,0,0,0,0,49
flat,godrej,sector 79,2.5,11141.0,3,3,3+,5.0,Relatively New,2244.0,0,0,0,0,0,1,0
house,shivaji nagar residential,sector 11,3.08,11400.0,6,4,2,1.0,Relatively New,2700.0,0,0,0,0,0,1,0
flat,bptp terra,sector 37d,1.6,7303.0,4,3,3+,7.0,Relatively New,2000.0,1,0,0,0,0,0,139
flat,s aradhya homes,sector 67a,1.9,8862.0,4,4,3,3.0,New Property,1990.0,0,0,0,0,0,0,62
flat,rof aindependentda,sector 95,0.26,6032.0,1,1,1,8.0,New Property,406.0,0,0,0,0,0,1,49
flat,parsvnath exotica,sector 53,5.0,17241.0,3,4,3,7.0,Old Property,3222.0,0,0,0,1,0,0,24
house,vatika india next,sector 82,6.5,20062.0,4,3,0,2.0,Relatively New,3239.9339,0,0,0,0,0,0,0
house,independent,sohna road,1.2,22297.0,4,4,3+,4.0,Old Property,450.0,0,0,0,0,0,1,8
house,independent,sector 55,2.8,18714.0,4,4,0,2.0,Old Property,1496.1821,0,0,0,0,0,0,0
flat,bptp terra,sector 37d,1.5,8283.0,3,3,3,17.0,Relatively New,1691.0,1,0,0,0,0,1,49
flat,experion the heartsong,sector 108,0.9,7015.0,2,3,3,7.0,Relatively New,1161.0,1,0,0,1,0,1,72
flat,mm merlin,sector 67,3.5,14583.0,3,4,3,17.0,Relatively New,2225.0,0,1,0,1,0,0,167
house,independent,sector 3,0.68,3876.0,5,3,0,1.0,Old Property,1755.0,0,0,0,0,0,1,0
house,independent,sector 25,13.5,19295.0,9,9,0,1.0,Relatively New,7000.0,0,0,0,0,0,1,0
flat,raheja atharva,sector 109,1.6,5319.0,4,1,0,0.0,New Property,3008.0,0,0,0,0,0,0,0
flat,smart world orchard,sector 61,2.45,15796.0,3,3,3,3.0,New Property,1223.0,0,0,0,1,1,1,119
flat,ats triumph,sector 104,1.83,7991.0,3,4,3+,10.0,Relatively New,2000.0,0,0,0,1,0,1,165
flat,dlf new town heights,sector 90,1.54,6514.0,4,4,3+,12.0,Moderately Old,2200.0,0,0,1,1,0,0,111
flat,dlf the icon,sector 43,6.0,26087.0,4,4,3+,18.0,Old Property,2556.0,0,0,0,1,0,0,150
flat,adani brahma samsara vilasa,sector 63,3.35,16470.0,3,3,3+,3.0,New Property,2034.0,0,0,0,0,0,0,16
flat,dlf the primus,sector 82a,2.95,11452.0,4,5,3+,10.0,Relatively New,2110.0,0,0,0,1,0,2,174
flat,sare homes,sector 92,0.56,4730.0,3,1,3,1.0,Moderately Old,1316.0,0,0,0,0,0,0,75
flat,sobha city,sector 108,3.35,13267.0,3,4,2,19.0,New Property,2525.0,0,0,0,0,0,0,102
flat,bestech park view aindependentda,sector 81,1.35,7542.0,3,3,3+,8.0,Old Property,1989.0,0,0,0,0,0,1,114
flat,mm merlin,sector 67,2.8,13672.0,3,3,3,2.0,Relatively New,2048.0,0,1,0,0,0,2,174
house,independent,sector 38,3.5,20323.0,3,2,2,1.0,Moderately Old,1722.224,0,0,0,0,0,0,0
flat,emaar gurgaon greens,sector 102,1.42,8606.0,3,3,3,4.0,Relatively New,1314.0,1,0,0,0,0,0,49
flat,pivotal devaan,sector 84,0.35,7277.0,2,2,1,10.0,Relatively New,531.0,0,1,0,0,0,0,103
flat,gls arawali homes,sohna road,0.32,6723.0,2,1,0,0.0,Relatively New,476.0,0,0,0,0,0,1,0
flat,bestech park view sanskruti,sector 92,1.6,7547.0,3,3,3,10.0,Relatively New,1765.0,0,0,0,1,0,0,60
flat,godrej aria,sector 79,1.0,6653.0,2,2,2,4.0,Relatively New,1300.0,0,0,0,0,1,1,49
house,independent,sector 43,7.85,29055.0,9,9,3+,3.0,Relatively New,2700.0,1,0,1,1,1,2,49
house,unitech aspen greens,sector 50,6.8,31430.0,4,5,3,3.0,Old Property,2163.5439,0,0,0,1,1,0,111
flat,mm merlin,sector 67,3.39,14377.0,3,4,3,14.0,Relatively New,2100.0,0,0,0,1,0,0,26
flat,emaar imperial gardens,sector 102,1.7,8395.0,3,4,3+,8.0,Relatively New,1750.0,0,0,1,1,0,0,174
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,5,3,6.0,Relatively New,1527.0,0,0,1,1,0,1,167
flat,mm golfestate,sector 65,5.2,17456.0,3,3,3,18.0,Relatively New,2695.0,0,0,0,1,1,0,76
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2,2,2,12.0,New Property,747.0,0,0,0,0,0,1,57
flat,ss the leaf,sector 85,1.83,7609.0,3,4,3,9.0,Relatively New,1925.0,0,0,0,0,0,0,49
flat,emaar mgf emerald floors premier,sector 65,2.85,14430.0,4,4,3,2.0,Relatively New,1975.0,0,0,0,1,1,0,21
flat,godrej nature plus,sector 33,1.7,12593.0,3,3,3+,6.0,New Property,1500.0,0,0,0,1,0,0,38
flat,signature global solera,sector 107,0.28,5622.0,2,2,2,14.0,Relatively New,543.0,0,0,0,0,0,1,38
flat,sobha city,sector 108,3.25,15685.0,3,3,3,12.0,Relatively New,2072.0,0,0,0,0,0,1,99
flat,dlf the skycourt,sector 86,1.54,8652.0,3,3,3+,15.0,Relatively New,1780.0,0,0,0,1,0,0,174
house,dlf city plots phase,sector 25,10.55,39049.0,5,6,3+,3.0,Moderately Old,2700.0,0,1,1,1,1,1,131
flat,tata primanti,sector 72,3.5,11427.0,4,5,3+,10.0,Relatively New,2625.0,1,0,0,1,0,1,38
flat,dlf new town heights,sector 90,1.2,6218.0,3,3,3+,8.0,Moderately Old,2144.0,0,0,1,1,0,1,59
flat,orchid petals,sector 49,2.55,12319.0,3,4,3,8.0,Relatively New,2060.0,0,0,0,0,1,0,49
flat,ansal heights,sector 86,1.25,7396.0,3,2,1,11.0,New Property,1529.0,0,0,0,0,0,0,45
flat,tulip violet,sector 69,1.7,8433.0,4,4,2,10.0,New Property,1819.0,0,0,0,0,0,1,125
flat,mm sierra,sector 68,1.25,10246.0,2,2,3,4.0,New Property,937.0,0,0,0,0,0,1,44
flat,siddhi vinayak apartments,sector 55,1.44,8471.0,3,3,2,6.0,Moderately Old,1700.0,1,0,0,0,0,0,47
house,independent,sector 5,0.85,8491.0,1,1,0,1.0,Relatively New,1000.0,0,0,0,0,0,0,0
flat,ild greens,sector 37c,0.78,5714.0,2,2,3,1.0,Moderately Old,1068.1,0,0,0,0,0,0,103
house,independent,sector 57,8.31,24201.0,5,6,3+,4.0,Old Property,3438.0,0,1,1,1,1,1,34
house,suncity township,sector 54,25.0,27782.0,4,4,3+,2.0,Moderately Old,9000.0,0,1,1,1,1,0,0
house,independent,sector 47,0.99,17032.0,4,4,3,4.0,Relatively New,576.0,0,0,0,0,0,1,13
flat,aipl club residences,sector 70a,0.95,10215.0,2,2,1,11.0,New Property,930.0,0,0,0,0,0,0,103
house,vipul tatvam villa,sector 48,8.5,26235.0,4,4,2,2.0,Moderately Old,3240.0,0,1,1,1,0,1,88
house,ansals palam vihar,sector 2,5.7,12527.0,5,5,2,2.0,Old Property,4550.0,0,0,1,0,0,2,94
flat,breez global hill view,sohna road,0.32,5776.0,2,2,2,19.0,Relatively New,616.0,0,0,0,0,0,0,21
flat,tata primanti,sector 72,3.19,12152.0,4,5,3+,20.0,Relatively New,2375.0,0,0,0,1,0,0,159
house,dlf city plots phase,sector 25,15.5,34286.0,5,6,3+,3.0,Moderately Old,4518.0,0,1,1,1,1,1,144
house,independent,sector 57,3.6,20773.0,4,4,2,2.0,Old Property,1732.9879,0,1,1,1,1,0,110
flat,signature the serenas,sohna road,0.5,9398.0,2,2,2,6.0,New Property,591.0,0,0,0,0,0,1,37
house,rattan garden,sector 7,1.3,13570.0,5,3,2,3.0,Old Property,963.0,0,0,0,0,0,1,0
flat,supertech araville,sector 79,0.71,6063.0,2,2,3+,17.0,New Property,1280.0,1,0,0,0,0,1,53
flat,smart world gems,sector 89,0.95,8597.0,2,2,2,4.0,New Property,1226.0,0,0,0,1,1,0,38
flat,dlf new town heights,sector 90,1.95,7151.0,4,4,3+,24.0,Relatively New,2456.0,0,1,0,1,0,1,174
house,emaar mgf marbella,sector 66,11.0,33951.0,5,6,3+,2.0,New Property,3240.0,0,1,1,1,1,0,153
flat,bestech altura,sector 79,1.72,8000.0,3,4,3+,5.0,Relatively New,1695.0,0,0,0,1,0,0,174
flat,shree vardhman flora,sector 90,0.65,4815.0,2,2,3,6.0,Relatively New,1221.0,0,0,0,0,1,0,174
house,unitech south city,sector 50,5.88,27178.0,9,9,3+,3.0,Relatively New,2160.0,1,0,1,1,1,2,128
flat,mapsko mount ville,sector 79,1.65,9091.0,3,3,0,12.0,Relatively New,1815.0,0,0,0,0,0,1,0
flat,dlf new town heights,sector 90,1.25,6477.0,3,3,3+,6.0,Relatively New,1929.0,0,0,1,1,0,0,136
flat,pioneer araya,sector 62,7.56,18000.0,4,4,3+,23.0,Relatively New,4200.0,0,0,1,1,0,0,87
flat,vatika sovereign park,sector 99,3.25,9673.0,4,4,3+,2.0,New Property,3040.0,0,0,0,1,0,0,123
flat,citizen apartment,sector 51,3.55,6826.0,5,6,3+,11.0,Moderately Old,5200.0,0,1,1,1,1,0,157
flat,supertech araville,sector 79,0.78,6023.0,2,2,3+,17.0,Relatively New,1172.0,0,0,0,0,0,1,24
flat,experion windchants,sector 112,5.2,10726.0,4,6,3+,15.0,Relatively New,3655.35,0,0,1,1,0,0,174
flat,unitech sunbreeze,sector 69,0.74,5502.0,3,3,1,10.0,Under Construction,1210.0,0,0,0,1,0,1,60
flat,shree vardhman victoria,sector 70,1.64,8410.0,3,5,3,8.0,Relatively New,1527.0,0,0,0,1,0,1,126
flat,alpha corp gurgaonone,sector 84,2.2,7586.0,4,4,3,10.0,Relatively New,3222.0,0,0,0,1,0,0,21
house,independent,sector 4,0.8,11797.0,5,3,1,2.0,Moderately Old,675.0,0,0,0,0,0,1,0
flat,ss almeria,sector 84,1.5,7500.0,3,3,3,2.0,New Property,1849.0,0,0,0,1,0,1,108
flat,signature global park,sector 36,0.85,11333.0,3,2,3,1.0,New Property,833.0,0,0,0,0,0,0,33
flat,dlf regal gardens,sector 90,1.78,8036.0,4,4,3+,8.0,Relatively New,2000.0,0,0,0,0,0,0,126
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4.0,Relatively New,1310.0,0,0,0,0,0,0,97
flat,the lions cghs,sector 56,2.05,7885.0,4,4,3+,7.0,Old Property,2600.0,0,1,0,0,0,0,120
flat,ansal housing highland park,sector 103,1.25,6443.0,3,3,3+,2.0,New Property,1464.0,0,0,1,0,0,1,105
flat,emaar gurgaon greens,sector 102,1.52,9212.0,3,3,3,7.0,Relatively New,1315.0,0,0,0,1,0,0,137
flat,bptp terra,sector 37d,1.4,7731.0,3,3,3,5.0,Relatively New,1711.0,0,0,0,0,0,0,149
flat,capital residences,sector 70a,1.18,8138.0,2,2,3,7.0,New Property,1400.0,0,0,1,0,0,0,140
flat,ild grand,sector 37c,0.66,5038.0,2,2,3+,14.0,Relatively New,1310.0,0,0,0,0,0,0,60
house,independent,sector 11,0.44,4258.0,3,2,1,1.0,Relatively New,128.0,1,0,1,0,0,0,46
flat,suncity platinum towers,sector 28,7.0,22222.0,4,3,2,10.0,Moderately Old,2488.0,0,0,0,1,0,1,31
house,independent,sector 43,2.5,26096.0,7,7,3,4.0,Relatively New,963.0,1,0,0,0,0,2,20
flat,vatika gurgaon,sector 83,1.12,6455.0,3,3,2,4.0,Relatively New,1200.0,0,1,1,1,1,0,165
flat,park view apartments,sector 15,1.6,11034.0,3,3,3+,2.0,Moderately Old,1611.0,0,0,1,0,0,1,56
flat,vatika gurgaon,sector 83,1.15,5808.0,3,3,2,3.0,Relatively New,1350.0,0,1,1,1,1,0,165
flat,microtek greenburg,sector 86,1.45,9797.0,3,2,3,8.0,Relatively New,1480.0,0,0,0,0,0,2,72
flat,signature the roselia,sector 95,0.48,7164.0,2,2,2,6.0,Relatively New,744.0,0,0,0,0,0,1,16
house,independent,sector 17,0.29,362.0,2,1,0,0.0,Old Property,8019.0,0,0,0,0,0,0,0
flat,dlf carlton estate,sector 43,2.0,14215.0,3,3,2,5.0,Moderately Old,1273.0,0,0,0,0,0,1,65
flat,central park flower valley,sector 33,1.35,10385.0,3,2,2,3.0,New Property,1444.0,0,0,0,0,0,1,87
flat,ambience lagoon,sector 24,4.25,13281.0,3,4,3+,3.0,Old Property,3201.0,0,0,1,1,0,0,143
flat,hcbs sports ville,sohna road,0.2,4219.0,1,1,1,3.0,New Property,474.042156,0,0,0,0,0,0,71
flat,green homes,sector 52,1.85,7872.0,3,3,3,7.0,Moderately Old,2126.0,0,0,0,1,0,1,28
flat,signature global synera,sector 81,0.5,7886.0,2,2,1,11.0,New Property,704.0,0,0,0,0,0,2,97
house,dlf city plots phase,sector 25,10.75,29901.0,9,9,3+,3.0,Old Property,3600.0,0,1,1,1,0,1,73
flat,umang monsoon breeze,sector 78,0.75,6053.0,2,2,1,5.0,Moderately Old,1239.0,0,0,0,0,0,0,0
flat,godrej aria,sector 79,1.95,8519.0,3,4,3+,10.0,New Property,1658.0,0,0,0,1,0,1,32
house,emaar mgf marbella,sector 66,9.01,16066.0,4,4,3+,3.0,Relatively New,4689.0,0,1,0,1,0,0,122
flat,dlf the arbour,sector 63,8.5,21519.0,4,4,0,27.0,New Property,3950.0,0,0,0,0,0,1,61
flat,hsiidc sidco shivalik apartments,manesar,0.73,3559.0,3,3,3+,2.0,Moderately Old,1705.0,0,0,0,1,0,0,80
flat,smart world gems,sector 89,0.95,8903.0,2,2,2,1.0,New Property,804.0,0,0,0,0,1,0,122
flat,mm heights,sector 65,2.86,13999.0,3,3,3,45.0,Relatively New,2267.0,0,0,0,1,0,1,0
flat,signature global park,sohna road,0.87,7190.0,3,2,3,4.0,Relatively New,1210.0,0,0,0,0,0,1,58
flat,shree vardhman victoria,sector 70,1.25,9259.0,2,2,3,3.0,Relatively New,1221.0,0,0,0,0,1,0,43
flat,pivotal riddhi siddhi,sector 99,0.5,8518.0,2,1,2,7.0,New Property,652.0,0,0,0,0,0,0,24
house,independent,sector 40,9.5,40117.0,12,12,3+,4.0,New Property,2367.0,0,1,0,0,0,0,57
flat,gls avenue,sector 92,0.45,7614.0,2,2,1,10.0,New Property,646.0,0,0,0,0,1,0,20
flat,tulip white,sector 69,0.9,6000.0,3,2,3+,1.0,Relatively New,1326.0,0,0,0,0,0,0,149
flat,emaar mgf palm terraces select,sector 66,3.4,14108.0,4,4,3+,2.0,Relatively New,2210.0,0,0,0,1,0,0,157
house,dlf city phase,sector 26,3.25,33180.0,3,3,3,2.0,Old Property,979.5149,0,0,0,0,1,1,79
flat,mvn athens,sohna road,0.24,7059.0,1,1,1,12.0,Relatively New,378.0,0,0,0,0,0,1,66
flat,la vida by tata housing,sector 113,2.7,12179.0,3,4,3+,4.0,Relatively New,2217.0,0,0,0,1,0,0,49
house,independent,sector 12,2.75,12342.0,6,6,2,2.0,Old Property,2228.0,0,0,0,0,0,0,0
flat,satya the hermitage,sector 103,0.8,5517.0,2,2,0,10.0,Relatively New,1450.0,0,0,0,0,0,1,61
house,independent,sector 7,1.16,11714.0,5,4,2,1.0,Old Property,122.0,0,0,0,0,0,1,0
house,independent,sector 43,5.25,27097.0,4,4,2,2.0,Old Property,1937.502,0,0,0,1,1,0,80
flat,lotus homz,sector 111,0.7,10057.0,2,2,2,8.0,Relatively New,773.0,0,0,0,0,0,1,68
flat,shree vardhman flora,sector 90,0.92,4907.0,3,4,3,4.0,Relatively New,1493.0,0,0,0,1,0,0,116
flat,dlf the ultima,sector 81,2.3,10994.0,3,4,3+,6.0,New Property,1893.0,0,0,0,1,0,2,167
flat,tulip ivory,sector 70,5.0,10417.0,6,7,3+,0.0,Relatively New,5333.0,0,0,0,1,1,1,119
flat,suncity avenue,sector 102,0.47,8935.0,2,2,1,5.0,Relatively New,581.0,0,1,0,0,0,1,142
flat,emaar mgf emerald floors premier,sector 65,2.35,14242.0,3,3,3,2.0,Relatively New,1650.0,0,0,0,1,1,0,158
flat,dlf royalton tower,sector 43,6.2,20687.0,4,4,3+,9.0,Moderately Old,2712.0,0,0,0,1,0,1,7
flat,shree arihant apartment,sector 54,1.55,7381.0,3,3,3+,3.0,Moderately Old,2000.0,1,0,1,0,0,0,125
flat,the close north,sector 50,2.35,11228.0,3,3,3,8.0,Moderately Old,2000.0,0,1,0,0,0,0,149
house,independent,sector 23,5.1,16567.0,3,2,0,1.0,Old Property,3078.4754,1,0,0,0,0,1,27
flat,ireo the corridors,sector 67a,1.8,14658.0,3,3,3,6.0,New Property,1551.0,0,1,0,1,0,0,150
flat,sare homes,sector 92,0.71,5354.0,3,3,3,2.0,Relatively New,1473.0,0,0,1,0,0,0,108
